id,graph,budget,agent,agent_params,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,trial_id,seed
195,montgomery,750,binary_segmented_greedy,{'k1': 0.39},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,66199
196,montgomery,750,binary_segmented_greedy,{'k1': 0.39},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,34766
197,montgomery,750,binary_segmented_greedy,{'k1': 0.39},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,73530
198,montgomery,750,binary_segmented_greedy,{'k1': 0.39},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,93557
199,montgomery,750,binary_segmented_greedy,{'k1': 0.39},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,61087
200,montgomery,750,binary_segmented_greedy,{'k1': 0.4},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,95839
201,montgomery,750,binary_segmented_greedy,{'k1': 0.4},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,68840
202,montgomery,750,binary_segmented_greedy,{'k1': 0.4},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,54384
203,montgomery,750,binary_segmented_greedy,{'k1': 0.4},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,51005
204,montgomery,750,binary_segmented_greedy,{'k1': 0.4},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,46576
205,montgomery,750,binary_segmented_greedy,{'k1': 0.41},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,39353
206,montgomery,750,binary_segmented_greedy,{'k1': 0.41},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,62003
207,montgomery,750,binary_segmented_greedy,{'k1': 0.41},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,83211
208,montgomery,750,binary_segmented_greedy,{'k1': 0.41},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,52733
209,montgomery,750,binary_segmented_greedy,{'k1': 0.41},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,65318
210,montgomery,750,binary_segmented_greedy,{'k1': 0.42},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,89474
211,montgomery,750,binary_segmented_greedy,{'k1': 0.42},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,23664
212,montgomery,750,binary_segmented_greedy,{'k1': 0.42},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,67172
213,montgomery,750,binary_segmented_greedy,{'k1': 0.42},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,85616
214,montgomery,750,binary_segmented_greedy,{'k1': 0.42},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,93264
